method,checkpoint,n_total_picks,hit_rate,base_rate,lift,n_total_top5,hit_rate_top5,lift_top5,lift_delta_vs_B0,lift_delta_vs_B1
S1_sector_filter,09:45,1285,0.712173579109063,0.3942493356529719,0.31792424345609105,1103,0.7172715053763441,0.3230221697233722,-0.04710061443932417,-0.08779761904761912
S1_sector_filter,10:00,1319,0.7202380952380952,0.3942493356529719,0.3259887595851233,1113,0.7400537634408602,0.34580442778788834,-0.04831029185867902,-0.09418362775217615
S1_sector_filter,10:15,1331,0.7389576932923707,0.3942493356529719,0.34470835763939883,1125,0.7526881720430108,0.3584388363900389,-0.04249391961085508,-0.09178827444956478
S1_sector_filter,10:30,1347,0.7404889912954429,0.3942493356529719,0.346239655642471,1133,0.7510752688172043,0.35682593316423245,-0.043785202252944244,-0.10118247567844346
S1_sector_filter,10:45,1345,0.750456029185868,0.3942493356529719,0.35620669353289597,1133,0.7627016129032258,0.3684522772502539,-0.040269777265745044,-0.09761264720942142
S1_sector_filter,11:00,1350,0.7591493855606759,0.3942493356529719,0.36490004990770397,1137,0.7633064516129032,0.36905711595993135,-0.03722158218125965,-0.0957533282130057
S1_sector_filter,11:15,1355,0.7622695852534562,0.3942493356529719,0.3680202496004843,1130,0.776747311827957,0.3824979761749851,-0.03732718894009224,-0.1004896313364056
S1_sector_filter,11:30,1359,0.7627528161802355,0.3942493356529719,0.3685034805272636,1134,0.7709677419354838,0.37671840628251196,-0.039263312852022614,-0.103939452124936
S1_sector_rank,09:25,1799,0.7098774321556579,0.3942493356529719,0.31562809650268603,1216,0.6893817204301075,0.29513238477713566,-0.020364503328213046,-0.04470046082949314
S1_sector_rank,09:45,1784,0.7434667818740399,0.3942493356529719,0.34921744622106804,1224,0.7501344086021505,0.35588507294917865,-0.015807411674347183,-0.056504416282642134
S1_sector_rank,10:00,1782,0.7521953405017922,0.3942493356529719,0.3579460048488202,1221,0.7625672043010753,0.3683178686481034,-0.0163530465949821,-0.062226382488479226
S1_sector_rank,10:15,1783,0.763759280593958,0.3942493356529719,0.36950994494098616,1218,0.7729838709677419,0.37873453531477,-0.017692332309267755,-0.06698668714797745
S1_sector_rank,10:30,1785,0.7649769585253456,0.3942493356529719,0.37072762287237376,1222,0.7814516129032258,0.3872022772502539,-0.01929723502304148,-0.0766945084485407
S1_sector_rank,10:45,1763,0.7721598182283667,0.3942493356529719,0.3779104825753947,1217,0.7905241935483871,0.3962748578954152,-0.018565988223246288,-0.07590885816692267
S1_sector_rank,11:00,1758,0.7774961597542243,0.3942493356529719,0.3832468241012524,1221,0.7938844086021505,0.39963507294917866,-0.01887480798771124,-0.07740655401945729
S1_sector_rank,11:15,1749,0.7820420506912443,0.3942493356529719,0.3877927150382724,1216,0.7977150537634409,0.403465718110469,-0.017554723502304137,-0.0807171658986175
S1_sector_rank,11:30,1735,0.7880760368663595,0.3942493356529719,0.39382670121338753,1211,0.8030913978494624,0.40884206219649044,-0.013940092165898699,-0.07861623143881208
S2_market_abs_rank,09:25,2480,0.730241935483871,0.3942493356529719,0.3359925998308991,1240,0.8935483870967742,0.4992990514438023,0.0,-0.024335957501280092
S2_market_abs_rank,09:45,2480,0.7592741935483871,0.3942493356529719,0.3650248578954152,1240,0.9274193548387096,0.5331700191857378,0.0,-0.04069700460829495
S2_market_abs_rank,10:00,2480,0.7685483870967742,0.3942493356529719,0.3742990514438023,1240,0.9395161290322581,0.5452667933792862,0.0,-0.045873335893497125
S2_market_abs_rank,10:15,2480,0.7814516129032258,0.3942493356529719,0.3872022772502539,1240,0.9508064516129032,0.5565571159599314,0.0,-0.0492943548387097
S2_market_abs_rank,10:30,2480,0.7842741935483871,0.3942493356529719,0.39002485789541524,1240,0.9548387096774194,0.5605893740244475,0.0,-0.05739727342549922
S2_market_abs_rank,10:45,2480,0.7907258064516128,0.3942493356529719,0.396476470798641,1240,0.9564516129032258,0.5622022772502538,0.0,-0.05734286994367638
S2_market_abs_rank,11:00,2480,0.7963709677419355,0.3942493356529719,0.4021216320889636,1240,0.9596774193548387,0.5654280837018668,0.0,-0.058531746031746046
S2_market_abs_rank,11:15,2480,0.7995967741935485,0.3942493356529719,0.40534743854057653,1240,0.9604838709677419,0.56623453531477,0.0,-0.06316244239631336
S2_market_abs_rank,11:30,2480,0.802016129032258,0.3942493356529719,0.40776679337928623,1240,0.9637096774193549,0.5694603417663829,0.0,-0.06467613927291338
